NUMBER,ITEM
BEEF,
2008,Bone In Chuck Roast
2071,Skirt Steak
2010,Flat Iron Steak
2043,Tenderloin Whole
2090,1/4# Patties
2001,Brisket Whole
2029,Rib Roast Boneless
789625,Dyno Ribs
3031,Smoked Kielbasa
2052,Top Round Roast
2021,Shoulder London Broil
2013,Chuck Steak
2089,1/3# Patties
2037,Strip Loin
2095,Back Ribs
2018,Shoulder Roast
2028,Rib Roast Bone In 
2074,Osso Bucco
2008,Chuck Roast Bone In
2092,Neck Bones
6071,Hot Dogs
PORK,
6007,Thick Bacon
6008,Thin Bacon
698745,Smoked Pork Skin
70215,Sirloin Roast
5019,Porkloin Roast
5034,Tongue
5046,Breakfast Patties
